Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
Python Machine Learning : A Guide for Beginners (Second Edition),Leonard Eddison,494.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7210/9781721083459.jpg,2.9,202.0,Paperback,2018-06-12,Amazon Digital Services LLC - Kdp Print Us,English,1721083456,9781721083459,,,,,,
Machine Learning for Evolution Strategies,Oliver Kramer,4204.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3198/9783319815008.jpg,,124.0,Paperback,2018-05-30,Springer,English,3319815008,9783319815008,Cham,Switzerland,155.0,235.0,7.37,2175.0
"Human and Machine Learning : Visible, Explainable, Trustworthy and Transparent","Jianlong Zhou, Fang Chen",2209.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0300/9783030080075.jpg,4.0,482.0,Paperback,2019-01-10,Springer,English,3030080072,9783030080075,Cham,Switzerland,155.0,235.0,25.91,771.0
"Machine Learning in Medical Imaging : 8th International Workshop, MLMI 2017, Held in Conjunction with MICCAI 2017, Quebec City, QC, Canada, September 10, 2017, Proceedings","Qian Wang, Yinghuan Shi, Heung-Il Suk, Kenji Suzuki",2519.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3196/9783319673882.jpg,,391.0,Paperback,2017-10-16,Springer,English,3319673882,9783319673882,Cham,Switzerland,155.0,235.0,21.34,6146.0
Machine Learning For Absolute Beginners : Applications of Artificial Intelligence From a World-Class Practitioner,"Jonathan Fitzpatrick, Mershke",522.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6708/9781670841216.jpg,,178.0,Paperback,2019-12-02,Independently Published,English,1670841219,9781670841216,,,127.0,203.0,10.0,181.0
Machine Learning and Artificial Intelligence,Ameet V Joshi,2575.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0302/9783030266240.jpg,,261.0,Paperback,2020-10-07,Springer,English,3030266249,9783030266240,Cham,Switzerland,155.0,235.0,15.24,438.0
Cloud Native Machine Learning,Carl Osipov,1257.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6172/9781617297762.jpg,5.0,250.0,Paperback,2021-06-29,Manning Publications,English,1617297763,9781617297762,,,,,,
"Machine Learning for Cyber Security : Third International Conference, ML4CS 2020, Guangzhou, China, October 8-10, 2020, Proceedings, Part II","Xiaofeng Chen, Hongyang Yan, Qiben Yan, Xiangliang Zhang",3277.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0306/9783030624590.jpg,,608.0,Paperback,2020-12-29,Springer,English,3030624595,9783030624590,Cham,Switzerland,155.0,235.0,32.0,943.0
Eat Sleep Machine Learning Repeat : Machine Learning Notebook for Data Scientists,Analyst Life Notebooks,334.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7107/9781710700701.jpg,,112.0,Paperback,2019-11-22,Independently Published,English,171070070X,9781710700701,,,152.0,229.0,6.0,159.0
Machine Learning of Inductive Bias,Paul E. Utgoff,3243.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4612/9781461294085.jpg,3.0,166.0,Paperback,2012-04-05,Springer,English,1461294088,9781461294085,"New York, NY",United States,155.0,235.0,10.16,296.0
